               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.024597,            0.018033,           0.0012369,             0.86031,             0.89257,             0.93095,              0.6199,            0.021673,            0.014686,          0.00065201,           0.0052174,           0.0052174,           0.0052174
                 106,            0.025364,            0.018261,            0.001739,             0.87971,             0.87686,             0.92578,             0.60194,            0.021838,            0.014929,          0.00069997,           0.0051469,           0.0051469,           0.0051469
                 107,            0.024982,            0.018199,           0.0013172,             0.80646,             0.85513,             0.88865,             0.57447,            0.022166,            0.015762,          0.00025232,           0.0050765,           0.0050765,           0.0050765
                 108,            0.025105,            0.018357,           0.0015254,             0.94193,             0.84603,             0.93475,             0.60349,            0.021547,            0.015273,           0.0003975,           0.0050062,           0.0050062,           0.0050062
                 109,             0.02536,            0.018188,           0.0013768,             0.85355,             0.92715,             0.94872,             0.64468,            0.020635,            0.014864,          0.00024205,            0.004936,            0.004936,            0.004936
                 110,            0.024655,            0.017949,            0.001391,              0.9621,             0.85188,             0.95512,              0.6441,            0.021467,            0.014489,          0.00038425,           0.0048659,           0.0048659,           0.0048659
                 111,            0.023776,            0.017663,           0.0010619,             0.86137,              0.8896,             0.92971,             0.62889,            0.021302,            0.015012,          0.00040647,            0.004796,            0.004796,            0.004796
                 112,            0.024085,            0.017613,           0.0013212,              0.9577,             0.82587,              0.9442,             0.63819,            0.020724,            0.014772,          0.00022958,           0.0047263,           0.0047263,           0.0047263
                 113,            0.024011,            0.017672,           0.0014345,             0.94419,             0.88394,             0.95684,             0.64863,            0.020356,            0.014591,          0.00031305,           0.0046568,           0.0046568,           0.0046568
                 114,            0.024168,            0.017757,           0.0013144,             0.87334,             0.92675,             0.94526,              0.6407,            0.020392,            0.014101,           0.0002462,           0.0045875,           0.0045875,           0.0045875
                 115,            0.024006,            0.017621,           0.0011492,             0.94425,             0.86599,             0.95673,             0.64191,            0.021035,            0.014248,          0.00030722,           0.0045184,           0.0045184,           0.0045184
                 116,            0.023366,            0.017001,           0.0010734,             0.94184,             0.87184,             0.95456,              0.6557,            0.020469,             0.01442,          0.00017853,           0.0044495,           0.0044495,           0.0044495
                 117,            0.023345,            0.017179,           0.0010159,             0.92764,             0.85828,             0.94979,             0.64642,            0.020053,            0.014197,          0.00033105,           0.0043809,           0.0043809,           0.0043809
